sample_id,data_name,start,end,predicted_text,target_text
data26_0,data26,12.61,18.75,"Tuyệt quá ha, có nhiều du thuyền ghê ha, mấy chiếc du thuyền đó có thể đi được bao xa.","Tuyệt quá a, có nhiều du thuyền ghê ha mấy chiếc du thuyền đó có thể đi được bao xa vậy ?"
data26_1,data26,18.76,23.98,Nó có thể đi tới tận biên giới biển của nước ta và có thể đi ngao vô được vòng quanh thế giới luôn.,Nó có thể đi tới tận biên giới biển của nước ta và có thể đi ngao vô được vòng quanh thế giới luôn.
data26_2,data26,24.06,25.68,Ayumi muốn được lên thử.,Ayumi muốn được lên thử quá.
data26_3,data26,25.86,27.58,Mình cũng muốn được như vậy đó.,Mình cũng muốn được như vậy đó.
data26_4,data26,27.58,34.0,Nhưng điều quan trọng nhất bây giờ là mình lại thấy đau bụng nữa rồi mau quay về lấy bento ăn cho no cái đã.,Nhưng điều quan trọng nhất bây giờ là mình lại thấy đói bụng nữa rồi mau quay về lấy bento ăn cho no cái đã.
data26_5,data26,35.16,38.88,Đúng là ghen ta với cái bụng đói. Thức ăn luôn là ưu tiên số 1 của cậu.,Đúng là ghen ta với cái bụng đói thức ăn luôn là ưu tiên số 1 của cậu.
data26_6,data26,55.71,63.22,Ở đây rồi. Ngài Takiguchi ơi. Tôi ở khách sạn Shirakabe. Chúng tôi đã chuẩn bị xong bữa ăn ngài đặt rồi đây.,Chắc ở đây rồi ngài Takiguchi ơi tôi ở khách sạn Shirakabe chúng tôi đã chuẩn bị xong bữa ăn ngày đặt rồi đây.
data26_7,data26,63.52,65.04,Là đầu bếp của khách sạn.,Là đầu bếp của khách sạn á.
data26_8,data26,65.02,67.54,"Xịn sò quá, hèn gì đồ ăn nhìn hấp dẫn ghê luôn.",Xịn xò quá Hèn gì đồ ăn nhìn hấp dẫn ghê luôn.
data26_9,data26,67.64,72.16,"Thôi đây, không có cái gì cho mấy nhóc ăn ở đây đâu nha. Đi chỗ khác chơi dùm cái đi.",Thôi đây không có cái gì cho mấy nhóc ăn ở đây đâu nha di chỗ khác chơi dùm cái đi.
